product_id,language_id,name
1390,1,"Bioderma Sebium Foaming Gel Facial Purifying Cleanser - 100 ml"
1392,1,"Gentle Foaming Cleansing Gel for Sensitive Skin - 200 ml"
1393,1,"Eucerin Oil Control Cleansing Gel – 200 ml"
1394,1,"Eucerin DermoPurifyer Facial Toner - 200ml"
1395,1,"Eucerin Even Pigment Perfector Gentle Cleansing Foam 160ml"
1397,1,"Eucerin Roughness Relief Lotion - 500ml s"
1400,1,"Cetaphil Moisturizing Lotion for Dry and Sensitive Skin - 236ml"
1401,1,"QV Intensive Cream for Sensitive and Extremely Dry Skin - 500g"
1404,1,"Skin Brightening and Evening Cream - Special Offer (2 Packs)"
1404,2,"كريم تفتيح وتوحيد لون البشرة عرض خاص عبوتين"
1405,1,"Alfabless Skin Whitening Cream 30g"
1405,2,"كريم الفابلس لتفتيح البشرة وتخفيف التصبغات  30 حم"
1407,1,"Eucerin Anti-Pigment Dual Serum – 30ml"
1407,2,"سيروم مزدوج مضاد للتصبغ من يوسيرين – 30 مل"
1408,1,"Eucerin Even Pigment Perfector Day Cream SPF 30 - 50ml"
1408,2,"كريم النهار بعامل حماية 30SPF لتوحيد لون البشرة من يوسرين- 50مل"
1409,1,"Eucerin Even Pigment Perfector Body Lotion 250ml"
1409,2,"لوشن تفتيح الجسم إيفن بيجمنت من يوسيرين 250مل"
1410,1,"Bioderma Photoderm Sunscreen Fluid SPF 50+ 40ml"
1410,2,"واقي شمس من بيوديرما فوتوديرم  السائل بمعامل حماية 50 درجة 40مل"
1411,1,"Stridex Acne Treatment Cotton Pads - 90 Pads"
1411,2,"مسحات علاج حب الشباب القطنية من ستريديكس 90 قطعة"
1412,1,"Stridex Essential Acne Treatment Pads - Blue"
1412,2,"مسحات علاج حب الشباب ازرق  من ستريديكس"
1413,1,"Acretin Acne Treatment Cream 0.025% / 30g - Jamjoom Pharma"
1415,1,"Differin Gel for Acne Treatment and Skin Tone Evening - 30g"
1416,1,"Giovanni Root 66 Max Volume Shampoo - 250ml"
1418,1,"Nizoral Anti-Dandruff Shampoo - 100 ml"
1419,1,"Olaplex No. 5 Bond Maintenance Conditioner 250ml"
1420,1,"Olaplex No. 6 Bond Smoother - 100ml"
1420,2,"منعم الشعر رقم 6 بوند من اولابليكس - 100مل"
1421,1,"Olaplex No. 6 Bond Smoother Intensive Restorative Treatment 100ml"
1422,1,"Olaplex No. 7 Bonding Oil for Hair Repair and Hydration - 30ml"
1422,2,"زيت بوندج لاصلاح وترطيب الشعر 7 من اولابلكس 30مل"
1424,1,"Bepanthen Moisturizing Skin Care Lotion - 200ml"
1425,1,"Life-Flo Pure Rosehip Seed Oil - 30ml"
1425,2,"زيت بذور ثمار الزهور النقي من لايف فلو - 30مل"
1426,1,"Diaper Rash Care Ointment - 30g"
1428,1,"QV Baby Moisturising Cream 250g"
1429,1,"QV Driving Hand Cream SPF 15 + Gift Bag"
1429,2,"كريم اليدين للقيادة  بمعامل حماية من الشمس 15 + شنطة هدية من كيوفي"
1430,1,"UreaRepair Plus Hand Cream with 5% Urea - 75ml"
1430,2,"كريم اليدين يوريا ريبير بلس يحتوي على 5% يوريا 75مل"
1432,1,"Eucerin Foot Repair Cream 85g"
1434,1,"Uriage Dépiderm Brightening Hand Cream with SPF 15 - 50ml"
1434,2,"كريم تفتيح لليدين دبيدرم مع واقي شمس 15 من يورياج 50مل"
1435,1,"QV Hand Cream - 50g"
1436,1,"Green Tea Mouthwash 250ml"
1436,2,"غسول الفم بالشاي الأخضر 250 مل"
1438,1,"Eucerin Anti-Perspirant Spray 30ml - 72-Hour Protection"
1438,2,"مزيل عرق بخاخ من يوسرين 30مل 72 ساعة"
1439,1,"Vichy Anti-Perspirant Anti-Stain 48H Deodorant for Men 50ml"
1439,2,"مزيل عرق فيتشي مضاد للبقع ومضاد للتعرق لمدة 48 ساعة للرجال 50مل"
1440,1,"Vichy Mineral-Enriched Deodorant 48-Hour Protection - 50ml"
1442,1,"Vichy Anti-Perspirant Roll-On for Excessive Perspiration - 50ml"
1442,2,"مزيل عرق رول للتعرق الزائد من فيتشي 50ملي"
1444,1,"Uriage Deodorant Spray - 125ml"
1444,2,"مزيل عرق بخاخ من يورياج125مل"
1445,1,"Vichy 7-Day Anti-Perspirant Deodorant Cream, Alcohol-Free - 30ml"
1445,2,"مزيل عرق كريم من فيتشي خال من الكحول بفعالية 7 ايام 30مل"
1446,1,"Vichy Dry Touch Deodorant for Very Sensitive Skin - 40ml"
1447,1,"Vichy 96H Clinical Control Anti-Perspirant Roll-On - Intensive Protection"
1448,1,"Urea Repair Transparent Body Lotion 5% 250ml"
1448,2,"لوشن الجسم للترطيب والتهدئة يوريا  ريبير شفاف  5% 250مل"
