product_id,language_id,name,gtin,sku
1675,1,"My Dear Perfume by Carlotta for Women, Eau de Toilette Single Pack, 100ml","6936711831876","6936711831876"
1675,2,"عطر ماي دير للنساء من كارلوتا، عبوة واحدة او دي تواليت بسعة 100 مل","6936711831876","6936711831876"
1676,1,"Carlotta Scandal Eau de Toilette Spray for Women, 100ml","6936711835560","6936711835560"
1676,2,"بخاخ او دي تواليت سكاندرال للنساء من كارلوتا، 100 مل","6936711835560","6936711835560"
1677,1,"Nature's Way Organic Coconut Oil - 453gm","033674156735","033674156735"
1677,2,"زيت جوز الهند العضوي من نيتشرز واي - 453جم","033674156735","033674156735"
1678,1,"I'm Sorry For My Skin Coma Mask Moisture","8809511985576",""
1678,2,"قناع كوما لترطيب البشرة من ايم سوري فور ماي سكن","8809511985576",""
1683,1,"I'm Sorry For My Skin pH5.5 Jelly Mask","8809511983077","8809511983077"
1685,1,"PH5.5 Jelly Mask From Im Surrey For My Skin","8809511985583","8809511985583"
1686,1,"M. Asam Magic Finish Makeup - 30ml","4049639420335","4049639420335"
1689,1,"Beausta Glossy Lip Tint & Gloss - Purple 4ml","8809577460888",""
1689,2,"ملمع وملون شفاه لامع بنفسجي من بيوستا  4مل","8809577460888",""
1690,1,"Biosta glossy lip color and gloss red 4ml","8809577460901",""
1690,2,"ملمع وملون شفاه لامع احمر من بيوستا  4مل","8809577460901",""
1691,1,"Biosta glossy lip color glossy orange peach 4ml","8809577460895",""
1691,2,"ملمع وملون شفاه لامع برتقالي خوخ من بيوستا  4مل","8809577460895",""
1692,1,"Glow & Lovely Anti-Marks Face Cream - 100g","6281006567474","6281006567474"
1694,1,"Egyptian Magic Skin Cream - 118 ml","764936777770",""
1694,2,"مرطب البشرة من ايجيبشن ماجيك 118 مل","764936777770",""
1696,1,"Katerina Olive Oil Extract Hair Color Shampoo - Black, 20 ml","6959222300099",""
1698,1,"Lakme Collage Mix Blue Cream Hair Color 0/70, 60 ml","8429421207010",""
1699,1,"Lakme Collagemix Cream Dye Mixed Colors 0/10, 60 ml","8429421211116",""
1699,2,"صبغة كولاج كريمي اخضر من لاكمي  0/10 ، 60 مل","8429421211116",""
1700,1,"Dove Hair Fall Rescue Shampoo, 200 ml","6281006423220","6281006423220"
1700,2,"شامبو دوڤ ضد تساقط الشعر، 200 مل","6281006423220","6281006423220"
1702,1,"Dove shampoo daily care 600ml","6281006423602","6281006423602"
1703,1,"Dove Daily Care Shampoo 200ml","6281006423206","6281006423206"
1703,2,"شامبو دوڤ عناية يومية 200 مل","6281006423206","6281006423206"
1704,1,"Dove Split End Rescue Shampoo 600ml","6281006423701","6281006423701"
1705,1,"Dove Nourishing Oil Care Shampoo, 600 ml","6281006423688","6281006423688"
1706,1,"Pastel Argan Oil Shampoo 400ml","6924833411137","6924833411137"
1707,1,"Keratin Smooth Shampoo for Dry and Frizzy Hair - 400ml","6281006535046","6281006535046"
1708,1,"Dove Intensive Repair Shampoo, 600 ml","6281006423640","6281006423640"
1708,2,"شامبو دوڤ  لإصلاح مكثّف، 600 مل","6281006423640","6281006423640"
1709,1,"Dove 2-in-1 Shampoo and Conditioner for Normal to Dry Hair, 600ml","6281006423589","6281006423589"
1709,2,"شامبو وبلسم دوڤ ٢ في ١ للشعر العادي والجاف،٦٠٠مل","6281006423589","6281006423589"
1710,1,"Sunsilk Shampoo for Smooth & Manageable Hair - 400ml","6281006424449","6281006424449"
1710,2,"شامبو صانسيلك لشعر ناعم وانسيابي - 400 مل","6281006424449","6281006424449"
1711,1,"Sunsilk Stunning Black Shine Shampoo, 400 ml","6281006424562","6281006424562"
1711,2,"شامبوصانسيلك  لمعان ساحر للشعر الأسود، 400 مل","6281006424562","6281006424562"
1713,1,"Sunsilk Strength & Shine Shampoo, 400ml","6281006424388","6281006424388"
1714,1,"Colgate Optic White Mouthwash - 500ml","7891024179482","7891024179482"
1717,1,"TRESemmé Botanix Shampoo and Conditioner","6281006564169","6281006564169"
1717,2,"شامبو وبلسم بوتانيكس من تريسيمي","6281006564169","6281006564169"
1726,1,"Foot Cream for Rough and Cracked Heel Care - 100 ml","6286030000164","6286030000164"
1728,1,"Round Cotton Pads - 80 Pieces","6286030000270","6286030000270"
1728,2,"مسحات قطنية دائرية 80 قطعة","6286030000270","6286030000270"
1729,1,"Jenson Cotton Makeup Pads, 80 Round Pads","6291018100019","6291018100019"
1730,1,"Nature Report Natural Rose Soothing & Moisturizing Gel - 300ml","8809514485134","8809514485134"
1730,2,"جل الورد الطبيعي لترطيب البشرة من ناتشر ريبورت - 300مل","8809514485134","8809514485134"
